codigo,nombre,precio_minorista,precio_mayorista,stock,categoria,desc,visible,foto
H15,Hielo Bolsa 15 kg,9000,8000,99,hielo,,,
H03,Hielo Bolsa 3 kg,3500,2400,99,hielo,,,
AC01,Acapulco - Agua 2 Sabores Surtido Caja x40,14260,11091,99,helados,,,
AC02,Acapulco - Palito Bombón Caja x40,24785,19277,99,helados,,,
AC03,Acapulco - Cono Bola Americano Caja x14,19183,14920,99,helados,,,
AC04,Acapulco - Cono Bola Chocolate Caja x14,19183,14920,99,helados,,,
AC05,Acapulco - Cono Bola Dulce de Leche Caja x14,19183,14920,99,helados,,,
AC06,Acapulco - Crocante Americano Caja x14,19183,14920,99,helados,,,
DN01,Dolce Neve - Frutales Surtidos Caja x20,9846,7658,99,helados,,,
DN02,Dolce Neve - Frutales Surtido Pack x10,6621,5149,99,helados,,,
DN03,Dolce Neve - Zombies Relleno Crema Americano Caja x20,14090,10959,99,helados,,,
DN04,Dolce Neve - Power Bots Surtido Caja x24,23087,17957,99,helados,,,
DN05,Dolce Neve - Carita Chocolate-Vainilla Caja x30,24615,19145,99,helados,,,
DN06,Dolce Neve - Carita Frutilla-Vainilla Caja x30,24615,19145,99,helados,,,
DN07,Dolce Neve - Sombrero Loco Chocolate-Americano Caja x30,24615,19145,99,helados,,,
DN08,Dolce Neve - Sombrero Loco Frutilla-Vainilla Caja x30,24615,19145,99,helados,,,
DN09,Dolce Neve - Gol Chocolate-Americano Caja x30,24615,19145,99,helados,,,
DN10,Dolce Neve - Granizado Dulce de Leche Caja x30,22239,17297,99,helados,,,
DN11,Dolce Neve - Granizado Americano Caja x30,22239,17297,99,helados,,,
DN12,Dolce Neve - Bombón Clásico Caja x20,18504,14392,99,helados,,,
DN13,Dolce Neve - Bombón Clásico Pack x10,10525,8186,99,helados,,,
DN14,Dolce Neve - Bombón Crocantino Caja x12,16637,12940,99,helados,,,
DN15,Dolce Neve - Bombón Piu Latte Caja x12,22234,17293,99,helados,,,
DN16,Dolce Neve - Bombón Piu Almendrado Caja x12,22234,17293,99,helados,,,
DN17,Dolce Neve - Bombón Piu Blanco Caja x12,22234,17293,99,helados,,,
DN18,Dolce Neve - Alfajor Helado Caja x16,24276,18881,99,helados,,,
DN19,Dolce Neve - Alfajor Helado Pack x8,13751,10695,99,helados,,,
DN20,Dolce Neve - Fiesta Chocolate-Vainilla Caja x24,20541,15976,99,helados,,,
DN21,Dolce Neve - Fiesta Chocolate-Frutilla Caja x24,20541,15976,99,helados,,,
DN22,Dolce Neve - Copa Cream Chocolate-Americano Caja x12,20541,15976,99,helados,,,
DN23,Dolce Neve - Copa Cream Frutilla-Americano Caja x12,20541,15976,99,helados,,,
DN24,Dolce Neve - Copa Cream Banana Split Caja x12,20541,15976,99,helados,,,
DN25,Dolce Neve - Cono Americano Caja x14,19183,14920,99,helados,,,
DN26,Dolce Neve - Cono Crocante Chocolate Caja x14,22069,17165,99,helados,,,
DN27,Dolce Neve - Cono Crocante Dulce de Leche Caja x14,22069,17165,99,helados,,,
DN28,Dolce Neve - Cono Crocante DL Pack x6,10696,8319,99,helados,,,
DN29,Dolce Neve - Ecco Granizado Caja x14,25634,19938,99,helados,,,
DN30,Dolce Neve - Ecco Granizado-Dulce de Leche Caja x14,25634,19938,99,helados,,,
DN31,Dolce Neve - Ecco Blanco Caja x14,25634,19938,99,helados,,,
DN32,Dolce Neve - Ecco Negro Chocolate Caja x14,25634,19938,99,helados,,,
QH01,Queen - Torta Chocolate-DL con Pionono,12732,9903,99,helados,,,
QH02,Queen - Torta Americano-Frutilla con Pionono,12732,9903,99,helados,,,
QH03,Queen - Tableta Bloque Dulce de Leche Caja x18,17316,13468,99,helados,,,
QH04,Queen - Tableta Bloque Americano Caja x18,17316,13468,99,helados,,,
QH05,Queen - Barrita DL Queen Bar Pack x12,13751,10695,99,helados,,,
QH06,Queen - Bombón Suizo Pack x8,14940,11620,99,helados,,,
QH07,Queen - Postre Almendrado Pack x8,9846,7658,99,helados,,,
QH08,Queen - Postre Tricolor Pack x8,9846,7658,99,helados,,,
QH09,Queen - Bombón Escocés Blanco Pack x8,14939,11619,99,helados,,,
QG01,Queen - Bombón Suizo Gastronomía Caja x30,48382,37630,99,helados,,,
QG02,Queen - Postre Almendrado Gastronomía Caja x30,30557,23767,99,helados,,,
QG03,Queen - Postre Napolitano Gastronomía Caja x30,30557,23767,99,helados,,,
QG04,Queen - Bombón Escocés Negro Gastronomía Caja x30,48382,37630,99,helados,,,
QG05,Queen - Bombón Escocés Blanco Gastronomía Caja x30,48382,37630,99,helados,,,
HL01,Helado a Granel Común 10 L,53305,41459,99,helados,,,
HL02,Helado a Granel Especial 10 L,63151,49118,99,helados,,,
